#nT = 49 nRho= 80
#logT [K],logRho [g/cc],logP [barye],logE [erg/g],logS [erg/g/K]
1.06000000,-8.00000000,0.61624794,8.79036389,8.79527567
1.06000000,-7.95000000,0.66624794,8.79036389,8.79238824
1.06000000,-7.90000000,0.71624794,8.79036389,8.78948299
1.06000000,-7.85000000,0.76624794,8.79036389,8.78656026
1.06000000,-7.80000000,0.81624794,8.79036389,8.78362060
1.06000000,-7.75000000,0.86624794,8.79036389,8.78066610
1.06000000,-7.70000000,0.91624794,8.79036389,8.77769384
1.06000000,-7.65000000,0.96624794,8.79036389,8.77469958
1.06000000,-7.60000000,1.01624794,8.79036389,8.77167933
1.06000000,-7.55000000,1.06624794,8.79036389,8.76863361
1.06000000,-7.50000000,1.11624794,8.79036389,8.76556369
1.06000000,-7.45000000,1.16624794,8.79036389,8.76247013
1.06000000,-7.40000000,1.21624794,8.79036389,8.75935313
1.06000000,-7.35000000,1.26624794,8.79036389,8.75620947
1.06000000,-7.30000000,1.31624794,8.79036389,8.75304159
1.06000000,-7.25000000,1.36624794,8.79036389,8.74985379
1.06000000,-7.20000000,1.41624794,8.79036389,8.74665051
1.06000000,-7.15000000,1.46624794,8.79036389,8.74343471
1.06000000,-7.10000000,1.51624794,8.79036389,8.74020008
1.06000000,-7.05000000,1.56624794,8.79036389,8.73693866
1.06000000,-7.00000000,1.61624794,8.79036389,8.73364289
1.06000000,-6.95000000,1.66624794,8.79036389,8.73031316
1.06000000,-6.90000000,1.71624794,8.79036389,8.72695282
1.06000000,-6.85000000,1.76624794,8.79036389,8.72356433
1.06000000,-6.80000000,1.81624794,8.79036389,8.72014976
1.06000000,-6.75000000,1.86624794,8.79036389,8.71670601
1.06000000,-6.70000000,1.91624794,8.79036389,8.71323402
1.06000000,-6.65000000,1.96624794,8.79036389,8.70973656
1.06000000,-6.60000000,2.01624794,8.79036389,8.70621633
1.06000000,-6.55000000,2.06624794,8.79036389,8.70267378
1.06000000,-6.50000000,2.11624794,8.79036389,8.69910601
1.06000000,-6.45000000,2.16624794,8.79036389,8.69550982
1.06000000,-6.40000000,2.21624794,8.79036389,8.69188236
1.06000000,-6.35000000,2.26624794,8.79036389,8.68822521
1.06000000,-6.30000000,2.31624794,8.79036389,8.68453759
1.06000000,-6.25000000,2.36624794,8.79036389,8.68081738
1.06000000,-6.20000000,2.41624794,8.79036389,8.67706262
1.06000000,-6.15000000,2.46624794,8.79036389,8.67327354
1.06000000,-6.10000000,2.51624794,8.79036389,8.66944994
1.06000000,-6.05000000,2.56624794,8.79036389,8.66559108
1.06000000,-6.00000000,2.61624794,8.79036389,8.66169630
1.06000000,-5.95000000,2.66624794,8.79036389,8.65776598
1.06000000,-5.90000000,2.71624794,8.79036389,8.65379881
1.06000000,-5.85000000,2.76624794,8.79036389,8.64979295
1.06000000,-5.80000000,2.81624794,8.79036389,8.64574640
1.06000000,-5.75000000,2.86624794,8.79036389,8.64165622
1.06000000,-5.70000000,2.91624794,8.79036389,8.63752514
1.06000000,-5.65000000,2.96624794,8.79036389,8.63335717
1.06000000,-5.60000000,3.01624794,8.79036389,8.62915638
1.06000000,-5.55000000,3.06624794,8.79036389,8.62492433
1.06000000,-5.50000000,3.11624794,8.79036389,8.62065557
1.06000000,-5.45000000,3.16624794,8.79036389,8.61634372
1.06000000,-5.40000000,3.21624794,8.79036389,8.61198268
1.06000000,-5.35000000,3.26624794,8.79036389,8.60757229
1.06000000,-5.30000000,3.31624794,8.79036389,8.60311467
1.06000000,-5.25000000,3.36624794,8.79036389,8.59861130
1.06000000,-5.20000000,3.41624790,8.79036389,8.59406370
1.06000000,-5.15000000,3.46624736,8.79036389,8.58947240
1.06000000,-5.10000000,3.51624682,8.79036389,8.58483403
1.06000000,-5.05000000,3.56624701,8.79036389,8.58014459
1.06000000,-5.00000000,3.61625327,8.79036389,8.57540125
1.06000000,-4.95000000,3.66630753,8.79036389,8.57061259
1.06000000,-4.90000000,3.71636330,8.79036389,8.56576907
1.06000000,-4.85000000,3.76634891,8.79036389,8.56085551
1.06000000,-4.80000000,3.81618602,8.79036946,8.55585637
1.06000000,-4.75000000,3.86578088,8.79043990,8.55075740
1.06000000,-4.70000000,3.91527957,8.79054800,8.54557879
1.06000000,-4.65000000,3.96487839,8.79063938,8.54034641
1.06000000,-4.60000000,4.01475775,8.79066251,8.53508556
1.06000000,-4.55000000,4.06478133,8.79063885,8.52980610
1.06000000,-4.50000000,4.11497500,8.79058976,8.52448172
1.06000000,-4.45000000,4.16547568,8.79052022,8.51908028
1.06000000,-4.40000000,4.21637713,8.79042932,8.51357315
1.06000000,-4.35000000,4.26726112,8.79024259,8.50799710
1.06000000,-4.30000000,4.31851550,8.78994250,8.50232655
1.06000000,-4.25000000,4.37084871,8.78953270,8.49650286
1.06000000,-4.20000000,4.42486784,8.78896565,8.49047723
1.06000000,-4.15000000,4.47978165,8.78793191,8.48433179
1.06000000,-4.10000000,4.53643141,8.78640251,8.47795599
1.06000000,-4.05000000,4.59644762,8.78437832,8.47114589
1.11000000,-8.00000000,0.66573076,8.84033220,8.79948946
1.11000000,-7.95000000,0.71573076,8.84033220,8.79662742
1.11000000,-7.90000000,0.76573076,8.84033220,8.79374773
1.11000000,-7.85000000,0.81573076,8.84033220,8.79085148
1.11000000,-7.80000000,0.86573076,8.84033220,8.78793858
1.11000000,-7.75000000,0.91573076,8.84033220,8.78500803
1.11000000,-7.70000000,0.96573076,8.84033220,8.78205887
1.11000000,-7.65000000,1.01573076,8.84033220,8.77909041
1.11000000,-7.60000000,1.06573076,8.84033220,8.77610469
1.11000000,-7.55000000,1.11573076,8.84033220,8.77309960
1.11000000,-7.50000000,1.16573076,8.84033220,8.77007160
1.11000000,-7.45000000,1.21573076,8.84033220,8.76701723
1.11000000,-7.40000000,1.26573076,8.84033220,8.76393582
1.11000000,-7.35000000,1.31573076,8.84033220,8.76082943
1.11000000,-7.30000000,1.36573076,8.84033220,8.75770013
1.11000000,-7.25000000,1.41573076,8.84033220,8.75454973
1.11000000,-7.20000000,1.46573076,8.84033220,8.75137619
1.11000000,-7.15000000,1.51573076,8.84033220,8.74817981
1.11000000,-7.10000000,1.56573076,8.84033220,8.74496216
1.11000000,-7.05000000,1.61573076,8.84033220,8.74172507
1.11000000,-7.00000000,1.66573076,8.84033220,8.73847162
1.11000000,-6.95000000,1.71573076,8.84033220,8.73519702
